Litter type,Block,Plot,Position,Months,Percent N mass remaining
turkey oak,C,3,Surface,18,97.95
turkey oak,C,4,Surface,18,108.58
turkey oak,C,5,Surface,18,114.68
turkey oak,C,6,Surface,18,69.15
turkey oak,C,7,Surface,18,93.81
turkey oak,C,8,Surface,18,116
turkey oak,C,9,Surface,18,96.89
turkey oak,C,10,Surface,18,102.99
turkey oak,C,11,Surface,18,95.26
turkey oak,C,12,Surface,18,113.24
,,,,,
,,,,,
turkey oak,A,1,Surface,24,93.19
turkey oak,A,2,Surface,24,129.51
turkey oak,A,3,Surface,24,99.82
turkey oak,A,4,Surface,24,91.45
turkey oak,A,5,Surface,24,98.51
turkey oak,A,6,Surface,24,104.12
turkey oak,A,7,Surface,24,86.16
turkey oak,A,8,Surface,24,96.9
turkey oak,A,9,Surface,24,99.96
turkey oak,A,10,Surface,24,67.67
turkey oak,A,11,Surface,24,119.17
turkey oak,A,12,Surface,24,95.04
,,,,,
turkey oak,B,1,Surface,24,98.98
turkey oak,B,2,Surface,24,111.61
turkey oak,B,3,Surface,24,105.87
turkey oak,B,4,Surface,24,109.25
turkey oak,B,5,Surface,24,91.57
turkey oak,B,6,Surface,24,95.01
turkey oak,B,7,Surface,24,97.02
turkey oak,B,8,Surface,24,113.66
turkey oak,B,9,Surface,24,116.84
turkey oak,B,10,Surface,24,99.17
turkey oak,B,10,Surface,24,106.21
turkey oak,B,12,Surface,24,105.96
,,,,,
turkey oak,C,1,Surface,24,97.64
turkey oak,C,2,Surface,24,94.72
turkey oak,C,3,Surface,24,88.86
turkey oak,C,4,Surface,24,101.59
turkey oak,C,5,Surface,24,87.18
turkey oak,C,6,Surface,24,81.46
turkey oak,C,7,Surface,24,83.59
turkey oak,C,8,Surface,24,80.35
turkey oak,C,9,Surface,24,93.67
turkey oak,C,10,Surface,24,104.84
turkey oak,C,11,Surface,24,86.51
turkey oak,C,12,Surface,24,95.23
,,,,,
,,,,,
turkey oak,A,1,Surface,36,74.14
turkey oak,A,2,Surface,36,86.28
turkey oak,A,3,Surface,36,88.85
turkey oak,A,4,Surface,36,61.64
turkey oak,A,5,Surface,36,109.06
turkey oak,A,6,Surface,36,102.42
turkey oak,A,7,Surface,36,91.45
turkey oak,A,8,Surface,36,86.67
turkey oak,A,9,Surface,36,99.97
turkey oak,A,10,Surface,36,66.4
turkey oak,A,11,Surface,36,68.75
turkey oak,A,12,Surface,36,53.56
,,,,,
turkey oak,B,1,Surface,36,76.65
turkey oak,B,2,Surface,36,94.86
turkey oak,B,4,Surface,36,84.62
turkey oak,B,5,Surface,36,79.11
turkey oak,B,6,Surface,36,113.67
turkey oak,B,7,Surface,36,49.11
turkey oak,B,8,Surface,36,94.6
turkey oak,B,9,Surface,36,92.88
turkey oak,B,11,Surface,36,87.9
