LitterType,Block,Plot,Position,Months,Percent P mass remaining
turkey oak,B,2,Surface,24,43.18
turkey oak,B,3,Surface,24,60.88
turkey oak,B,4,Surface,24,63.51
turkey oak,B,5,Surface,24,44.21
turkey oak,B,6,Surface,24,47.77
turkey oak,B,7,Surface,24,44
turkey oak,B,8,Surface,24,70.59
turkey oak,B,9,Surface,24,98.58
turkey oak,B,10,Surface,24,25.4
turkey oak,B,10,Surface,24,55.55
turkey oak,B,12,Surface,24,52.33
,,,,,
turkey oak,C,1,Surface,24,59.38
turkey oak,C,2,Surface,24,79.69
turkey oak,C,3,Surface,24,58.75
turkey oak,C,4,Surface,24,25.86
turkey oak,C,5,Surface,24,22.39
turkey oak,C,6,Surface,24,18.05
turkey oak,C,7,Surface,24,15.57
turkey oak,C,8,Surface,24,14.8
turkey oak,C,9,Surface,24,44.03
turkey oak,C,10,Surface,24,59.27
turkey oak,C,11,Surface,24,69.96
turkey oak,C,12,Surface,24,52.96
,,,,,
,,,,,
turkey oak,A,1,Surface,36,42.88
turkey oak,A,2,Surface,36,36.94
turkey oak,A,3,Surface,36,37.21
turkey oak,A,4,Surface,36,30.14
turkey oak,A,5,Surface,36,58.07
turkey oak,A,6,Surface,36,44.54
turkey oak,A,7,Surface,36,40.15
turkey oak,A,8,Surface,36,65.06
turkey oak,A,9,Surface,36,54.79
turkey oak,A,10,Surface,36,33.01
turkey oak,A,11,Surface,36,57.87
turkey oak,A,12,Surface,36,30.06
,,,,,
turkey oak,B,1,Surface,36,53.88
turkey oak,B,2,Surface,36,63.56
turkey oak,B,4,Surface,36,47.99
turkey oak,B,5,Surface,36,62.02
turkey oak,B,6,Surface,36,85.93
turkey oak,B,7,Surface,36,49.9
turkey oak,B,8,Surface,36,70.67
turkey oak,B,9,Surface,36,30.67
turkey oak,B,11,Surface,36,51.47
turkey oak,B,11,Surface,36,98.09
turkey oak,B,12,Surface,36,65.07
,,,,,
turkey oak,C,1,Surface,36,66.48
turkey oak,C,2,Surface,36,34.49
turkey oak,C,3,Surface,36,58.91
turkey oak,C,4,Surface,36,45.56
turkey oak,C,5,Surface,36,47.28
turkey oak,C,7,Surface,36,24.36
turkey oak,C,8,Surface,36,60.68
turkey oak,C,9,Surface,36,39.33
turkey oak,C,10,Surface,36,61.45
turkey oak,C,11,Surface,36,62.4
turkey oak,C,12,Surface,36,74.16
,,,,,
,,,,,
turkey oak,A,1,Surface,48,38.1
turkey oak,A,2,Surface,48,29.76
turkey oak,A,3,Surface,48,49.87
turkey oak,A,4,Surface,48,23.67
turkey oak,A,6,Surface,48,14.71
turkey oak,A,6,Surface,48,34.78
turkey oak,A,6,Surface,48,61.52
turkey oak,A,8,Surface,48,84.94
turkey oak,A,9,Surface,48,51.75
turkey oak,A,10,Surface,48,65.81
turkey oak,A,11,Surface,48,31.67
turkey oak,A,12,Surface,48,55.44
,,,,,
turkey oak,B,1,Surface,48,32.68
turkey oak,B,1,Surface,48,45.64
turkey oak,B,2,Surface,48,35.03
turkey oak,B,3,Surface,48,28.44
turkey oak,B,3,Surface,48,50.64
turkey oak,B,5,Surface,48,31.92
turkey oak,B,6,Surface,48,37.78
turkey oak,B,8,Surface,48,56.68
turkey oak,B,9,Surface,48,51.16
turkey oak,B,9,Surface,48,55.71
turkey oak,B,10,Surface,48,62.35
,,,,,
turkey oak,C,2,Surface,48,22.98
turkey oak,C,3,Surface,48,42.68
turkey oak,C,4,Surface,48,56.54
turkey oak,C,5,Surface,48,52
turkey oak,C,7,Surface,48,56.77
turkey oak,C,8,Surface,48,69.33
turkey oak,C,10,Surface,48,55.33
turkey oak,C,11,Surface,48,40.89
turkey oak,C,11,Surface,48,65.03
turkey oak,C,12,Surface,48,47.88
,,,,,
