Litter type,Block,Plot,Position,Months,Percent Mass remaining
turkey oak,C,10,Surface,36,47.27
turkey oak,C,11,Surface,36,60.38
turkey oak,C,12,Surface,36,46.35
,,,,,
,,,,,
turkey oak,A,1,Surface,48,38.1
turkey oak,A,2,Surface,48,17.86
turkey oak,A,3,Surface,48,39.37
turkey oak,A,4,Surface,48,17.75
turkey oak,A,6,Surface,48,13.79
turkey oak,A,6,Surface,48,31.62
turkey oak,A,6,Surface,48,46.14
turkey oak,A,8,Surface,48,53.09
turkey oak,A,9,Surface,48,37.86
turkey oak,A,10,Surface,48,41.13
turkey oak,A,11,Surface,48,47.5
turkey oak,A,12,Surface,48,24.46
,,,,,
turkey oak,B,1,Surface,48,29.71
turkey oak,B,1,Surface,48,42.79
turkey oak,B,2,Surface,48,50.04
turkey oak,B,3,Surface,48,38.95
turkey oak,B,3,Surface,48,50.2
turkey oak,B,5,Surface,48,30.89
turkey oak,B,6,Surface,48,39.08
turkey oak,B,8,Surface,48,41.48
turkey oak,B,9,Surface,48,40.39
turkey oak,B,9,Surface,48,40.77
turkey oak,B,10,Surface,48,45.62
,,,,,
turkey oak,C,2,Surface,48,22.24
turkey oak,C,3,Surface,48,31.23
turkey oak,C,4,Surface,48,54.71
turkey oak,C,5,Surface,48,52
turkey oak,C,7,Surface,48,34.06
turkey oak,C,8,Surface,48,41.6
turkey oak,C,10,Surface,48,53.54
turkey oak,C,11,Surface,48,39.57
turkey oak,C,11,Surface,48,40.64
turkey oak,C,12,Surface,48,47.88
,,,,,
pine,A,1,Buried,6,81.14
pine,A,2,Buried,6,85.16
pine,A,3,Buried,6,85.24
pine,A,4,Buried,6,69.83
pine,A,5,Buried,6,79.71
pine,A,6,Buried,6,75.45
pine,A,7,Buried,6,83.25
pine,A,8,Buried,6,81.95
pine,A,9,Buried,6,76.73
pine,A,10,Buried,6,80.5
pine,A,10,Buried,6,81.13
pine,A,11,Buried,6,80.21
,,,,,
pine,B,1,Buried,6,81.8
pine,B,2,Buried,6,80.84
pine,B,3,Buried,6,77.58
pine,B,4,Buried,6,77.13
pine,B,5,Buried,6,74.57
pine,B,6,Buried,6,83.72
pine,B,7,Buried,6,83.75
pine,B,8,Buried,6,85.69
pine,B,10,Buried,6,90.49
pine,B,11,Buried,6,79.35
pine,B,11,Buried,6,80.37
pine,B,12,Buried,6,88.71
,,,,,
pine,C,1,Buried,6,82.18
pine,C,2,Buried,6,74.11
pine,C,3,Buried,6,82.72
pine,C,4,Buried,6,83.2
pine,C,6,Buried,6,82.99
pine,C,7,Buried,6,88.09
pine,C,8,Buried,6,79.36
pine,C,9,Buried,6,70.95
pine,C,10,Buried,6,89.8
pine,C,11,Buried,6,73.43
pine,C,12,Buried,6,84.42
,,,,,
,,,,,
pine,A,1,Buried,12,55.49
pine,A,2,Buried,12,71.99
pine,A,3,Buried,12,47.74
pine,A,4,Buried,12,56.77
pine,A,5,Buried,12,64.08
pine,A,6,Buried,12,61.71
pine,A,8,Buried,12,74.23
pine,A,9,Buried,12,54.35
pine,A,11,Buried,12,66.67
pine,A,12,Buried,12,70.69
pine,A,12,Buried,12,70.85
,,,,,
pine,B,1,Buried,12,43.91
pine,B,3,Buried,12,45.78
pine,B,4,Buried,12,51.76
pine,B,5,Buried,12,64.58
pine,B,7,Buried,12,55.44
pine,B,8,Buried,12,64.37
pine,B,9,Buried,12,65.2
pine,B,10,Buried,12,59.09
pine,B,11,Buried,12,15.14
pine,B,11,Buried,12,64.02
pine,B,12,Buried,12,63.62
,,,,,
pine,C,1,Buried,12,58.31
pine,C,2,Buried,12,60.49
pine,C,2,Buried,12,66.7
pine,C,3,Buried,12,70.6
pine,C,5,Buried,12,65.57
pine,C,5,Buried,12,68.77
pine,C,6,Buried,12,58.71
pine,C,6,Buried,12,71.75
pine,C,7,Buried,12,69.06
pine,C,8,Buried,12,58.96
pine,C,9,Buried,12,67.41
pine,C,10,Buried,12,76.15
pine,C,11,Buried,12,59.31
pine,C,12,Buried,12,65.25
,,,,,
,,,,,
pine,A,1,Buried,18,45.87
pine,A,2,Buried,18,32
pine,A,3,Buried,18,11.81
pine,A,4,Buried,18,44.38
pine,A,5,Buried,18,36.07
pine,A,6,Buried,18,27.28
pine,A,7,Buried,18,19.18
pine,A,8,Buried,18,43.59
pine,A,9,Buried,18,61.93
pine,A,10,Buried,18,15.42
pine,A,11,Buried,18,54.83
pine,A,12,Buried,18,73.92
,,,,,
pine,B,1,Buried,18,38.3
pine,B,2,Buried,18,19.62
pine,B,3,Buried,18,54.5
pine,B,5,Buried,18,31.2
pine,B,6,Buried,18,43.87
pine,B,7,Buried,18,51.42
pine,B,8,Buried,18,46.38
pine,B,8,Buried,18,48.11
pine,B,9,Buried,18,49.1
pine,B,10,Buried,18,40.83
pine,B,11,Buried,18,34.64
pine,B,12,Buried,18,60.37
,,,,,
pine,C,1,Buried,18,26.03
pine,C,2,Buried,18,25.65
pine,C,3,Buried,18,12.34
pine,C,4,Buried,18,33.51
pine,C,5,Buried,18,43.61
pine,C,6,Buried,18,51.49
pine,C,7,Buried,18,47.82
pine,C,8,Buried,18,34.19
pine,C,9,Buried,18,28.94
pine,C,11,Buried,18,49.42
pine,C,12,Buried,18,28.24
,,,,,
,,,,,
pine,A,1,Buried,24,35.22
pine,A,2,Buried,24,34.97
pine,A,3,Buried,24,19.24
pine,A,5,Buried,24,49.68
pine,A,6,Buried,24,29.22
pine,A,7,Buried,24,19.93
pine,A,8,Buried,24,28.5
pine,A,9,Buried,24,38.39
pine,A,10,Buried,24,20.65
pine,A,11,Buried,24,52.26
pine,A,12,Buried,24,56.88
,,,,,
pine,B,1,Buried,24,22.77
pine,B,2,Buried,24,17.02
pine,B,3,Buried,24,31.01
pine,B,4,Buried,24,42.51
pine,B,5,Buried,24,32.1
pine,B,6,Buried,24,59.82
pine,B,8,Buried,24,20.6
pine,B,9,Buried,24,39.64
pine,B,12,Buried,24,53.3
,,,,,
pine,C,1,Buried,24,45.18
pine,C,2,Buried,24,65.23
pine,C,3,Buried,24,69.8
pine,C,4,Buried,24,36.32
pine,C,5,Buried,24,23.02
pine,C,6,Buried,24,16.03
pine,C,7,Buried,24,23.34
pine,C,8,Buried,24,36.74
pine,C,9,Buried,24,39.24
pine,C,10,Buried,24,19.04
pine,C,11,Buried,24,30.62
pine,C,12,Buried,24,33.8
,,,,,
,,,,,
pine,A,1,Buried,36,22
pine,A,5,Buried,36,20.2
pine,A,7,Buried,36,20.4
pine,A,9,Buried,36,21.18
